Year,Type,Automobile Volume
2012,Imports,404975
2012,Exports,302441
2011,Imports,366768
2011,Exports,283901
2010,Imports,469315
2010,Exports,225964
2009,Imports,423425
2009,Exports,194406
2008,Imports,654760
2008,Exports,376780
2007,Imports,663539
2007,Exports,266759
2006,Imports,690636
2006,Exports,161616
2005,Imports,578694
2004,Imports,631481
2004,Exports,97239
2003,Imports,582915
2003,Exports,42883
2002,Imports,553410
2002,Exports,37367
2001,Imports,509433
2001,Exports,40063
2000,Imports,527822
2000,Exports,36896
2005,Exports,143717
2015,Imports,433822
2015,Exports,210464
2013,Imports,411503
2014,Imports,366544
2013,Exports,337444
2014,Exports,272261
